Slang;Formal;Sentiment Score
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
panik ga tuh;apakah panik?;-1
